"Step","EXP00006 - metrics/accuracy_top1","EXP00006 - metrics/accuracy_top1__MIN","EXP00006 - metrics/accuracy_top1__MAX"
"1","0.30496","0.30496","0.30496"
"2","0.70876","0.70876","0.70876"
"3","0.78655","0.78655","0.78655"
"4","0.84949","0.84949","0.84949"
"5","0.90511","0.90511","0.90511"
"6","0.92108","0.92108","0.92108"
"7","0.92446","0.92446","0.92446"
"8","0.92991","0.92991","0.92991"
"9","0.93668","0.93668","0.93668"
"10","0.9472","0.9472","0.9472"
"11","0.94457","0.94457","0.94457"
"12","0.95171","0.95171","0.95171"
"13","0.95603","0.95603","0.95603"
"14","0.95171","0.95171","0.95171"
"15","0.96223","0.96223","0.96223"
"16","0.96092","0.96092","0.96092"
"17","0.96505","0.96505","0.96505"
"18","0.96637","0.96637","0.96637"
"19","0.96637","0.96637","0.96637"
"20","0.96712","0.96712","0.96712"
"21","0.96862","0.96862","0.96862"
"22","0.97012","0.97012","0.97012"
"23","0.97106","0.97106","0.97106"
"24","0.96994","0.96994","0.96994"
"25","0.97163","0.97163","0.97163"
"26","0.97407","0.97407","0.97407"
"27","0.97275","0.97275","0.97275"
"28","0.97294","0.97294","0.97294"
"29","0.97163","0.97163","0.97163"
"30","0.97632","0.97632","0.97632"
"31","0.97614","0.97614","0.97614"
"32","0.97501","0.97501","0.97501"
"33","0.97614","0.97614","0.97614"
"34","0.97557","0.97557","0.97557"
"35","0.97726","0.97726","0.97726"
"36","0.97689","0.97689","0.97689"
"37","0.97689","0.97689","0.97689"
"38","0.9767","0.9767","0.9767"
"39","0.97651","0.97651","0.97651"
"40","0.97708","0.97708","0.97708"
"41","0.97783","0.97783","0.97783"
"42","0.97839","0.97839","0.97839"
"43","0.97839","0.97839","0.97839"
"44","0.97933","0.97933","0.97933"
"45","0.97858","0.97858","0.97858"
"46","0.97952","0.97952","0.97952"
"47","0.97933","0.97933","0.97933"
"48","0.97971","0.97971","0.97971"
"49","0.97989","0.97989","0.97989"
"50","0.98008","0.98008","0.98008"
"51","0.98008","0.98008","0.98008"
"52","0.98008","0.98008","0.98008"
"53","0.97989","0.97989","0.97989"
"54","0.97971","0.97971","0.97971"
"55","0.97971","0.97971","0.97971"
"56","0.97989","0.97989","0.97989"
"57","0.98008","0.98008","0.98008"
"58","0.98027","0.98027","0.98027"
"59","0.98008","0.98008","0.98008"
"60","0.97989","0.97989","0.97989"
"61","0.98027","0.98027","0.98027"
"62","0.98008","0.98008","0.98008"
"63","0.98046","0.98046","0.98046"
"64","0.98046","0.98046","0.98046"
"65","0.98083","0.98083","0.98083"
"66","0.98102","0.98102","0.98102"
"67","0.98102","0.98102","0.98102"
"68","0.98083","0.98083","0.98083"
"69","0.98083","0.98083","0.98083"
"70","0.98083","0.98083","0.98083"
"71","0.98083","0.98083","0.98083"
"72","0.98102","0.98102","0.98102"
"73","0.98121","0.98121","0.98121"
"74","0.98121","0.98121","0.98121"
"75","0.98102","0.98102","0.98102"
"76","0.98102","0.98102","0.98102"
"77","0.98121","0.98121","0.98121"
"78","0.9814","0.9814","0.9814"
"79","0.98177","0.98177","0.98177"
"80","0.98159","0.98159","0.98159"
"81","0.98177","0.98177","0.98177"
"82","0.98196","0.98196","0.98196"
"83","0.98215","0.98215","0.98215"
"84","0.98215","0.98215","0.98215"
"85","0.98215","0.98215","0.98215"
"86","0.98196","0.98196","0.98196"
"87","0.98159","0.98159","0.98159"
"88","0.98159","0.98159","0.98159"
"89","0.9814","0.9814","0.9814"
"90","0.98196","0.98196","0.98196"
"91","0.98196","0.98196","0.98196"
"92","0.98215","0.98215","0.98215"
"93","0.98177","0.98177","0.98177"
"94","0.98196","0.98196","0.98196"
"95","0.98177","0.98177","0.98177"
"96","0.98177","0.98177","0.98177"
"97","0.98177","0.98177","0.98177"
"98","0.98177","0.98177","0.98177"
"99","0.98196","0.98196","0.98196"
"100","0.98196","0.98196","0.98196"
"101","0.98196","0.98196","0.98196"
"102","0.98253","0.98253","0.98253"
"103","0.98271","0.98271","0.98271"
"104","0.9829","0.9829","0.9829"
"105","0.9829","0.9829","0.9829"
"106","0.9829","0.9829","0.9829"
"107","0.9829","0.9829","0.9829"
"108","0.98309","0.98309","0.98309"
"109","0.98328","0.98328","0.98328"
"110","0.98384","0.98384","0.98384"
"111","0.98403","0.98403","0.98403"
"112","0.98403","0.98403","0.98403"
"113","0.98422","0.98422","0.98422"
"114","0.98422","0.98422","0.98422"
"115","0.9844","0.9844","0.9844"
"116","0.9844","0.9844","0.9844"
"117","0.98478","0.98478","0.98478"
"118","0.98478","0.98478","0.98478"
"119","0.98478","0.98478","0.98478"
"120","0.98478","0.98478","0.98478"
"121","0.98497","0.98497","0.98497"
"122","0.98497","0.98497","0.98497"
"123","0.98478","0.98478","0.98478"
"124","0.98459","0.98459","0.98459"
"125","0.98478","0.98478","0.98478"
"126","0.98478","0.98478","0.98478"
"127","0.98497","0.98497","0.98497"
"128","0.98497","0.98497","0.98497"
"129","0.98516","0.98516","0.98516"
"130","0.98516","0.98516","0.98516"
"131","0.98516","0.98516","0.98516"
"132","0.98534","0.98534","0.98534"
"133","0.98534","0.98534","0.98534"
"134","0.98534","0.98534","0.98534"
"135","0.98534","0.98534","0.98534"
"136","0.98553","0.98553","0.98553"
"137","0.98591","0.98591","0.98591"
"138","0.98591","0.98591","0.98591"
"139","0.98591","0.98591","0.98591"
"140","0.9861","0.9861","0.9861"
"141","0.9861","0.9861","0.9861"
"142","0.9861","0.9861","0.9861"
"143","0.98591","0.98591","0.98591"
"144","0.98591","0.98591","0.98591"
"145","0.98591","0.98591","0.98591"
"146","0.98591","0.98591","0.98591"
"147","0.98591","0.98591","0.98591"
"148","0.9861","0.9861","0.9861"
"149","0.9861","0.9861","0.9861"
"150","0.9862833619117737","0.9862833619117737","0.9862833619117737"
