"Step","EXP00007 - metrics/accuracy_top1","EXP00007 - metrics/accuracy_top1__MIN","EXP00007 - metrics/accuracy_top1__MAX"
"1","0.292","0.292","0.292"
"2","0.68489","0.68489","0.68489"
"3","0.81229","0.81229","0.81229"
"4","0.88952","0.88952","0.88952"
"5","0.91469","0.91469","0.91469"
"6","0.90436","0.90436","0.90436"
"7","0.92221","0.92221","0.92221"
"8","0.93762","0.93762","0.93762"
"9","0.93968","0.93968","0.93968"
"10","0.95284","0.95284","0.95284"
"11","0.94889","0.94889","0.94889"
"12","0.94852","0.94852","0.94852"
"13","0.95021","0.95021","0.95021"
"14","0.95152","0.95152","0.95152"
"15","0.95885","0.95885","0.95885"
"16","0.96167","0.96167","0.96167"
"17","0.96411","0.96411","0.96411"
"18","0.96467","0.96467","0.96467"
"19","0.96505","0.96505","0.96505"
"20","0.96693","0.96693","0.96693"
"21","0.96843","0.96843","0.96843"
"22","0.96825","0.96825","0.96825"
"23","0.96956","0.96956","0.96956"
"24","0.96994","0.96994","0.96994"
"25","0.97069","0.97069","0.97069"
"26","0.97219","0.97219","0.97219"
"27","0.97332","0.97332","0.97332"
"28","0.97182","0.97182","0.97182"
"29","0.97069","0.97069","0.97069"
"30","0.9767","0.9767","0.9767"
"31","0.97632","0.97632","0.97632"
"32","0.97651","0.97651","0.97651"
"33","0.97595","0.97595","0.97595"
"34","0.97632","0.97632","0.97632"
"35","0.9767","0.9767","0.9767"
"36","0.97557","0.97557","0.97557"
"37","0.97632","0.97632","0.97632"
"38","0.97595","0.97595","0.97595"
"39","0.97651","0.97651","0.97651"
"40","0.97576","0.97576","0.97576"
"41","0.97557","0.97557","0.97557"
"42","0.97595","0.97595","0.97595"
"43","0.97632","0.97632","0.97632"
"44","0.97651","0.97651","0.97651"
"45","0.97726","0.97726","0.97726"
"46","0.97745","0.97745","0.97745"
"47","0.97839","0.97839","0.97839"
"48","0.97802","0.97802","0.97802"
"49","0.97877","0.97877","0.97877"
"50","0.97877","0.97877","0.97877"
"51","0.97933","0.97933","0.97933"
"52","0.97952","0.97952","0.97952"
"53","0.97971","0.97971","0.97971"
"54","0.97952","0.97952","0.97952"
"55","0.97989","0.97989","0.97989"
"56","0.98027","0.98027","0.98027"
"57","0.98008","0.98008","0.98008"
"58","0.98027","0.98027","0.98027"
"59","0.97989","0.97989","0.97989"
"60","0.97989","0.97989","0.97989"
"61","0.97989","0.97989","0.97989"
"62","0.98008","0.98008","0.98008"
"63","0.98008","0.98008","0.98008"
"64","0.98008","0.98008","0.98008"
"65","0.98008","0.98008","0.98008"
"66","0.97989","0.97989","0.97989"
"67","0.98008","0.98008","0.98008"
"68","0.98008","0.98008","0.98008"
"69","0.98008","0.98008","0.98008"
"70","0.98027","0.98027","0.98027"
"71","0.98065","0.98065","0.98065"
"72","0.98065","0.98065","0.98065"
"73","0.98065","0.98065","0.98065"
"74","0.98083","0.98083","0.98083"
"75","0.98083","0.98083","0.98083"
"76","0.98102","0.98102","0.98102"
"77","0.98083","0.98083","0.98083"
"78","0.98083","0.98083","0.98083"
"79","0.98065","0.98065","0.98065"
"80","0.98083","0.98083","0.98083"
"81","0.98083","0.98083","0.98083"
"82","0.98083","0.98083","0.98083"
"83","0.98102","0.98102","0.98102"
"84","0.98102","0.98102","0.98102"
"85","0.98102","0.98102","0.98102"
"86","0.98102","0.98102","0.98102"
"87","0.98121","0.98121","0.98121"
"88","0.98121","0.98121","0.98121"
"89","0.9814","0.9814","0.9814"
"90","0.9814","0.9814","0.9814"
"91","0.98121","0.98121","0.98121"
"92","0.98121","0.98121","0.98121"
"93","0.9814","0.9814","0.9814"
"94","0.98177","0.98177","0.98177"
"95","0.98177","0.98177","0.98177"
"96","0.98177","0.98177","0.98177"
"97","0.98159","0.98159","0.98159"
"98","0.98177","0.98177","0.98177"
"99","0.98215","0.98215","0.98215"
"100","0.98271","0.98271","0.98271"
"101","0.98253","0.98253","0.98253"
"102","0.98253","0.98253","0.98253"
"103","0.98253","0.98253","0.98253"
"104","0.98253","0.98253","0.98253"
"105","0.98271","0.98271","0.98271"
"106","0.98271","0.98271","0.98271"
"107","0.98253","0.98253","0.98253"
"108","0.98271","0.98271","0.98271"
"109","0.98271","0.98271","0.98271"
"110","0.98271","0.98271","0.98271"
"111","0.98309","0.98309","0.98309"
"112","0.98328","0.98328","0.98328"
"113","0.98346","0.98346","0.98346"
"114","0.98328","0.98328","0.98328"
"115","0.98328","0.98328","0.98328"
"116","0.98346","0.98346","0.98346"
"117","0.98365","0.98365","0.98365"
"118","0.98346","0.98346","0.98346"
"119","0.98346","0.98346","0.98346"
"120","0.98346","0.98346","0.98346"
"121","0.98346","0.98346","0.98346"
"122","0.98328","0.98328","0.98328"
"123","0.98328","0.98328","0.98328"
"124","0.98365","0.98365","0.98365"
"125","0.98365","0.98365","0.98365"
"126","0.98365","0.98365","0.98365"
"127","0.98422","0.98422","0.98422"
"128","0.9844","0.9844","0.9844"
"129","0.98422","0.98422","0.98422"
"130","0.98422","0.98422","0.98422"
"131","0.98422","0.98422","0.98422"
"132","0.98422","0.98422","0.98422"
"133","0.9844","0.9844","0.9844"
"134","0.98459","0.98459","0.98459"
"135","0.98478","0.98478","0.98478"
"136","0.98478","0.98478","0.98478"
"137","0.98478","0.98478","0.98478"
"138","0.98478","0.98478","0.98478"
"139","0.98459","0.98459","0.98459"
"140","0.98478","0.98478","0.98478"
"141","0.98478","0.98478","0.98478"
"142","0.98478","0.98478","0.98478"
"143","0.98459","0.98459","0.98459"
"144","0.98459","0.98459","0.98459"
"145","0.98478","0.98478","0.98478"
"146","0.98478","0.98478","0.98478"
"147","0.98478","0.98478","0.98478"
"148","0.98478","0.98478","0.98478"
"149","0.98459","0.98459","0.98459"
"150","0.9847801327705383","0.9847801327705383","0.9847801327705383"
