"Step","EXP00007 - train/loss","EXP00007 - train/loss__MIN","EXP00007 - train/loss__MAX"
"1","3.20139","3.20139","3.20139"
"2","1.96935","1.96935","1.96935"
"3","1.53325","1.53325","1.53325"
"4","1.34322","1.34322","1.34322"
"5","1.09923","1.09923","1.09923"
"6","0.97215","0.97215","0.97215"
"7","0.90751","0.90751","0.90751"
"8","0.85229","0.85229","0.85229"
"9","0.80219","0.80219","0.80219"
"10","0.78417","0.78417","0.78417"
"11","0.75162","0.75162","0.75162"
"12","0.7387","0.7387","0.7387"
"13","0.72254","0.72254","0.72254"
"14","0.70125","0.70125","0.70125"
"15","0.6915","0.6915","0.6915"
"16","0.66599","0.66599","0.66599"
"17","0.67522","0.67522","0.67522"
"18","0.64867","0.64867","0.64867"
"19","0.64137","0.64137","0.64137"
"20","0.64124","0.64124","0.64124"
"21","0.62925","0.62925","0.62925"
"22","0.63999","0.63999","0.63999"
"23","0.62583","0.62583","0.62583"
"24","0.6082","0.6082","0.6082"
"25","0.6091","0.6091","0.6091"
"26","0.60582","0.60582","0.60582"
"27","0.60042","0.60042","0.60042"
"28","0.60413","0.60413","0.60413"
"29","0.5962","0.5962","0.5962"
"30","0.5903","0.5903","0.5903"
"31","0.59586","0.59586","0.59586"
"32","0.58789","0.58789","0.58789"
"33","0.58234","0.58234","0.58234"
"34","0.59204","0.59204","0.59204"
"35","0.57753","0.57753","0.57753"
"36","0.57734","0.57734","0.57734"
"37","0.58252","0.58252","0.58252"
"38","0.56867","0.56867","0.56867"
"39","0.57058","0.57058","0.57058"
"40","0.55807","0.55807","0.55807"
"41","0.56948","0.56948","0.56948"
"42","0.56923","0.56923","0.56923"
"43","0.5476","0.5476","0.5476"
"44","0.55701","0.55701","0.55701"
"45","0.55746","0.55746","0.55746"
"46","0.55877","0.55877","0.55877"
"47","0.55067","0.55067","0.55067"
"48","0.54894","0.54894","0.54894"
"49","0.54991","0.54991","0.54991"
"50","0.54684","0.54684","0.54684"
"51","0.53653","0.53653","0.53653"
"52","0.5422","0.5422","0.5422"
"53","0.53924","0.53924","0.53924"
"54","0.53896","0.53896","0.53896"
"55","0.54078","0.54078","0.54078"
"56","0.54865","0.54865","0.54865"
"57","0.53069","0.53069","0.53069"
"58","0.54012","0.54012","0.54012"
"59","0.52897","0.52897","0.52897"
"60","0.53762","0.53762","0.53762"
"61","0.5269","0.5269","0.5269"
"62","0.53687","0.53687","0.53687"
"63","0.53035","0.53035","0.53035"
"64","0.53724","0.53724","0.53724"
"65","0.51883","0.51883","0.51883"
"66","0.5112","0.5112","0.5112"
"67","0.51768","0.51768","0.51768"
"68","0.52091","0.52091","0.52091"
"69","0.52901","0.52901","0.52901"
"70","0.51734","0.51734","0.51734"
"71","0.51657","0.51657","0.51657"
"72","0.51813","0.51813","0.51813"
"73","0.51416","0.51416","0.51416"
"74","0.50503","0.50503","0.50503"
"75","0.51389","0.51389","0.51389"
"76","0.51062","0.51062","0.51062"
"77","0.50247","0.50247","0.50247"
"78","0.50636","0.50636","0.50636"
"79","0.50049","0.50049","0.50049"
"80","0.51259","0.51259","0.51259"
"81","0.49441","0.49441","0.49441"
"82","0.49885","0.49885","0.49885"
"83","0.50102","0.50102","0.50102"
"84","0.49553","0.49553","0.49553"
"85","0.49198","0.49198","0.49198"
"86","0.49525","0.49525","0.49525"
"87","0.49386","0.49386","0.49386"
"88","0.48726","0.48726","0.48726"
"89","0.50268","0.50268","0.50268"
"90","0.49438","0.49438","0.49438"
"91","0.49298","0.49298","0.49298"
"92","0.48526","0.48526","0.48526"
"93","0.48916","0.48916","0.48916"
"94","0.4914","0.4914","0.4914"
"95","0.48791","0.48791","0.48791"
"96","0.48515","0.48515","0.48515"
"97","0.4876","0.4876","0.4876"
"98","0.48821","0.48821","0.48821"
"99","0.48363","0.48363","0.48363"
"100","0.47491","0.47491","0.47491"
"101","0.47135","0.47135","0.47135"
"102","0.47506","0.47506","0.47506"
"103","0.47956","0.47956","0.47956"
"104","0.46958","0.46958","0.46958"
"105","0.48539","0.48539","0.48539"
"106","0.47484","0.47484","0.47484"
"107","0.46881","0.46881","0.46881"
"108","0.4654","0.4654","0.4654"
"109","0.4682","0.4682","0.4682"
