"Step","EXP00008 - metrics/accuracy_top1","EXP00008 - metrics/accuracy_top1__MIN","EXP00008 - metrics/accuracy_top1__MAX"
"1","0.3525","0.3525","0.3525"
"2","0.58512","0.58512","0.58512"
"3","0.81774","0.81774","0.81774"
"4","0.88031","0.88031","0.88031"
"5","0.90981","0.90981","0.90981"
"6","0.90361","0.90361","0.90361"
"7","0.92484","0.92484","0.92484"
"8","0.92991","0.92991","0.92991"
"9","0.93968","0.93968","0.93968"
"10","0.95246","0.95246","0.95246"
"11","0.95096","0.95096","0.95096"
"12","0.95077","0.95077","0.95077"
"13","0.95547","0.95547","0.95547"
"14","0.9549","0.9549","0.9549"
"15","0.96167","0.96167","0.96167"
"16","0.95697","0.95697","0.95697"
"17","0.96392","0.96392","0.96392"
"18","0.96298","0.96298","0.96298"
"19","0.96599","0.96599","0.96599"
"20","0.96543","0.96543","0.96543"
"21","0.96975","0.96975","0.96975"
"22","0.97088","0.97088","0.97088"
"23","0.9705","0.9705","0.9705"
"24","0.969","0.969","0.969"
"25","0.96918","0.96918","0.96918"
"26","0.97463","0.97463","0.97463"
"27","0.97163","0.97163","0.97163"
"28","0.97106","0.97106","0.97106"
"29","0.97125","0.97125","0.97125"
"30","0.97463","0.97463","0.97463"
"31","0.972","0.972","0.972"
"32","0.97219","0.97219","0.97219"
"33","0.97219","0.97219","0.97219"
"34","0.97238","0.97238","0.97238"
"35","0.97351","0.97351","0.97351"
"36","0.97482","0.97482","0.97482"
"37","0.97539","0.97539","0.97539"
"38","0.97557","0.97557","0.97557"
"39","0.97482","0.97482","0.97482"
"40","0.97539","0.97539","0.97539"
"41","0.97539","0.97539","0.97539"
"42","0.97595","0.97595","0.97595"
"43","0.97708","0.97708","0.97708"
"44","0.9767","0.9767","0.9767"
"45","0.97689","0.97689","0.97689"
"46","0.97745","0.97745","0.97745"
"47","0.97745","0.97745","0.97745"
"48","0.97802","0.97802","0.97802"
"49","0.97802","0.97802","0.97802"
"50","0.97839","0.97839","0.97839"
"51","0.97896","0.97896","0.97896"
"52","0.97896","0.97896","0.97896"
"53","0.97839","0.97839","0.97839"
"54","0.97839","0.97839","0.97839"
"55","0.9782","0.9782","0.9782"
"56","0.97858","0.97858","0.97858"
"57","0.97858","0.97858","0.97858"
"58","0.97858","0.97858","0.97858"
"59","0.97914","0.97914","0.97914"
"60","0.97914","0.97914","0.97914"
"61","0.97914","0.97914","0.97914"
"62","0.97933","0.97933","0.97933"
"63","0.97952","0.97952","0.97952"
"64","0.97952","0.97952","0.97952"
"65","0.97989","0.97989","0.97989"
"66","0.98027","0.98027","0.98027"
"67","0.98046","0.98046","0.98046"
"68","0.98065","0.98065","0.98065"
"69","0.98065","0.98065","0.98065"
"70","0.98065","0.98065","0.98065"
"71","0.98102","0.98102","0.98102"
"72","0.98121","0.98121","0.98121"
"73","0.98121","0.98121","0.98121"
"74","0.9814","0.9814","0.9814"
"75","0.98121","0.98121","0.98121"
"76","0.9814","0.9814","0.9814"
"77","0.9814","0.9814","0.9814"
"78","0.98121","0.98121","0.98121"
"79","0.98102","0.98102","0.98102"
"80","0.98121","0.98121","0.98121"
"81","0.98102","0.98102","0.98102"
"82","0.98121","0.98121","0.98121"
"83","0.98121","0.98121","0.98121"
"84","0.9814","0.9814","0.9814"
"85","0.9814","0.9814","0.9814"
"86","0.98121","0.98121","0.98121"
"87","0.98121","0.98121","0.98121"
"88","0.98121","0.98121","0.98121"
"89","0.9814","0.9814","0.9814"
"90","0.9814","0.9814","0.9814"
"91","0.9814","0.9814","0.9814"
"92","0.9814","0.9814","0.9814"
"93","0.98159","0.98159","0.98159"
"94","0.98159","0.98159","0.98159"
"95","0.98159","0.98159","0.98159"
"96","0.98159","0.98159","0.98159"
"97","0.98159","0.98159","0.98159"
"98","0.98177","0.98177","0.98177"
"99","0.98159","0.98159","0.98159"
"100","0.98196","0.98196","0.98196"
"101","0.98196","0.98196","0.98196"
"102","0.98196","0.98196","0.98196"
"103","0.98196","0.98196","0.98196"
"104","0.98177","0.98177","0.98177"
"105","0.98177","0.98177","0.98177"
"106","0.98177","0.98177","0.98177"
"107","0.98177","0.98177","0.98177"
"108","0.98177","0.98177","0.98177"
"109","0.98196","0.98196","0.98196"
"110","0.98234","0.98234","0.98234"
"111","0.98234","0.98234","0.98234"
"112","0.98234","0.98234","0.98234"
"113","0.98253","0.98253","0.98253"
"114","0.98253","0.98253","0.98253"
"115","0.98253","0.98253","0.98253"
"116","0.9829","0.9829","0.9829"
"117","0.98328","0.98328","0.98328"
"118","0.98328","0.98328","0.98328"
"119","0.98346","0.98346","0.98346"
"120","0.98346","0.98346","0.98346"
"121","0.98346","0.98346","0.98346"
"122","0.98346","0.98346","0.98346"
"123","0.98346","0.98346","0.98346"
"124","0.98365","0.98365","0.98365"
"125","0.98384","0.98384","0.98384"
"126","0.98403","0.98403","0.98403"
"127","0.98403","0.98403","0.98403"
"128","0.98422","0.98422","0.98422"
"129","0.98403","0.98403","0.98403"
"130","0.98403","0.98403","0.98403"
"131","0.98384","0.98384","0.98384"
"132","0.98384","0.98384","0.98384"
"133","0.98365","0.98365","0.98365"
"134","0.98365","0.98365","0.98365"
"135","0.98365","0.98365","0.98365"
"136","0.98384","0.98384","0.98384"
"137","0.98422","0.98422","0.98422"
"138","0.9844","0.9844","0.9844"
"139","0.9844","0.9844","0.9844"
"140","0.9844","0.9844","0.9844"
"141","0.98459","0.98459","0.98459"
"142","0.98459","0.98459","0.98459"
"143","0.98459","0.98459","0.98459"
"144","0.98478","0.98478","0.98478"
"145","0.98478","0.98478","0.98478"
"146","0.98478","0.98478","0.98478"
"147","0.98534","0.98534","0.98534"
"148","0.98553","0.98553","0.98553"
"149","0.98553","0.98553","0.98553"
"150","0.985531747341156","0.985531747341156","0.985531747341156"
