"Step","EXP00008 - train/loss","EXP00008 - train/loss__MIN","EXP00008 - train/loss__MAX"
"1","3.20708","3.20708","3.20708"
"2","1.93823","1.93823","1.93823"
"3","1.50747","1.50747","1.50747"
"4","1.33004","1.33004","1.33004"
"5","1.10232","1.10232","1.10232"
"6","0.96806","0.96806","0.96806"
"7","0.91993","0.91993","0.91993"
"8","0.8552","0.8552","0.8552"
"9","0.80374","0.80374","0.80374"
"10","0.79859","0.79859","0.79859"
"11","0.76332","0.76332","0.76332"
"12","0.74274","0.74274","0.74274"
"13","0.72692","0.72692","0.72692"
"14","0.70462","0.70462","0.70462"
"15","0.69639","0.69639","0.69639"
"16","0.67212","0.67212","0.67212"
"17","0.68514","0.68514","0.68514"
"18","0.65447","0.65447","0.65447"
"19","0.64942","0.64942","0.64942"
"20","0.64466","0.64466","0.64466"
"21","0.63717","0.63717","0.63717"
"22","0.64196","0.64196","0.64196"
"23","0.62811","0.62811","0.62811"
"24","0.61437","0.61437","0.61437"
"25","0.61766","0.61766","0.61766"
"26","0.61408","0.61408","0.61408"
"27","0.60136","0.60136","0.60136"
"28","0.61241","0.61241","0.61241"
"29","0.60098","0.60098","0.60098"
"30","0.59681","0.59681","0.59681"
"31","0.6081","0.6081","0.6081"
"32","0.59533","0.59533","0.59533"
"33","0.59068","0.59068","0.59068"
"34","0.59409","0.59409","0.59409"
"35","0.5846","0.5846","0.5846"
"36","0.58275","0.58275","0.58275"
"37","0.58134","0.58134","0.58134"
"38","0.57314","0.57314","0.57314"
"39","0.58215","0.58215","0.58215"
"40","0.5602","0.5602","0.5602"
"41","0.56716","0.56716","0.56716"
"42","0.57377","0.57377","0.57377"
"43","0.55612","0.55612","0.55612"
"44","0.55823","0.55823","0.55823"
"45","0.55673","0.55673","0.55673"
"46","0.56464","0.56464","0.56464"
"47","0.55073","0.55073","0.55073"
"48","0.55696","0.55696","0.55696"
"49","0.55194","0.55194","0.55194"
"50","0.55049","0.55049","0.55049"
"51","0.54232","0.54232","0.54232"
"52","0.55085","0.55085","0.55085"
"53","0.54241","0.54241","0.54241"
"54","0.54195","0.54195","0.54195"
"55","0.55119","0.55119","0.55119"
"56","0.5486","0.5486","0.5486"
"57","0.53682","0.53682","0.53682"
"58","0.54545","0.54545","0.54545"
"59","0.53131","0.53131","0.53131"
"60","0.53995","0.53995","0.53995"
"61","0.53498","0.53498","0.53498"
"62","0.54186","0.54186","0.54186"
"63","0.53286","0.53286","0.53286"
"64","0.54079","0.54079","0.54079"
"65","0.52538","0.52538","0.52538"
"66","0.51456","0.51456","0.51456"
"67","0.52272","0.52272","0.52272"
"68","0.52766","0.52766","0.52766"
"69","0.53122","0.53122","0.53122"
"70","0.52318","0.52318","0.52318"
"71","0.52536","0.52536","0.52536"
"72","0.52355","0.52355","0.52355"
"73","0.51733","0.51733","0.51733"
"74","0.51291","0.51291","0.51291"
"75","0.52041","0.52041","0.52041"
"76","0.51102","0.51102","0.51102"
"77","0.50947","0.50947","0.50947"
"78","0.51211","0.51211","0.51211"
"79","0.5067","0.5067","0.5067"
"80","0.51902","0.51902","0.51902"
"81","0.50117","0.50117","0.50117"
"82","0.50237","0.50237","0.50237"
"83","0.50564","0.50564","0.50564"
"84","0.49967","0.49967","0.49967"
"85","0.49354","0.49354","0.49354"
"86","0.50113","0.50113","0.50113"
"87","0.50056","0.50056","0.50056"
"88","0.49313","0.49313","0.49313"
"89","0.51398","0.51398","0.51398"
"90","0.50101","0.50101","0.50101"
"91","0.49342","0.49342","0.49342"
"92","0.49591","0.49591","0.49591"
"93","0.49344","0.49344","0.49344"
"94","0.49412","0.49412","0.49412"
"95","0.49227","0.49227","0.49227"
"96","0.49044","0.49044","0.49044"
"97","0.4927","0.4927","0.4927"
"98","0.49344","0.49344","0.49344"
"99","0.49141","0.49141","0.49141"
"100","0.47995","0.47995","0.47995"
"101","0.47925","0.47925","0.47925"
"102","0.4849","0.4849","0.4849"
"103","0.48085","0.48085","0.48085"
"104","0.47399","0.47399","0.47399"
"105","0.48942","0.48942","0.48942"
"106","0.48197","0.48197","0.48197"
"107","0.47333","0.47333","0.47333"
"108","0.47088","0.47088","0.47088"
"109","0.47084","0.47084","0.47084"
"110","0.47872","0.47872","0.47872"
"111","0.46818","0.46818","0.46818"
"112","0.4634","0.4634","0.4634"
"113","0.45809","0.45809","0.45809"
"114","0.45138","0.45138","0.45138"
