"Step","EXP00010 - metrics/accuracy_top1","EXP00010 - metrics/accuracy_top1__MIN","EXP00010 - metrics/accuracy_top1__MAX"
"1","0.33315","0.33315","0.33315"
"2","0.63322","0.63322","0.63322"
"3","0.73544","0.73544","0.73544"
"4","0.83427","0.83427","0.83427"
"5","0.88538","0.88538","0.88538"
"6","0.8805","0.8805","0.8805"
"7","0.91902","0.91902","0.91902"
"8","0.91808","0.91808","0.91808"
"9","0.92446","0.92446","0.92446"
"10","0.94532","0.94532","0.94532"
"11","0.94363","0.94363","0.94363"
"12","0.93536","0.93536","0.93536"
"13","0.94927","0.94927","0.94927"
"14","0.94382","0.94382","0.94382"
"15","0.95002","0.95002","0.95002"
"16","0.94476","0.94476","0.94476"
"17","0.94833","0.94833","0.94833"
"18","0.95246","0.95246","0.95246"
"19","0.9596","0.9596","0.9596"
"20","0.95603","0.95603","0.95603"
"21","0.95904","0.95904","0.95904"
"22","0.9628","0.9628","0.9628"
"23","0.95829","0.95829","0.95829"
"24","0.96035","0.96035","0.96035"
"25","0.95998","0.95998","0.95998"
"26","0.96017","0.96017","0.96017"
"27","0.96223","0.96223","0.96223"
"28","0.96167","0.96167","0.96167"
"29","0.96336","0.96336","0.96336"
"30","0.9658","0.9658","0.9658"
"31","0.96411","0.96411","0.96411"
"32","0.96787","0.96787","0.96787"
"33","0.96956","0.96956","0.96956"
"34","0.96768","0.96768","0.96768"
"35","0.97031","0.97031","0.97031"
"36","0.96918","0.96918","0.96918"
"37","0.969","0.969","0.969"
"38","0.96768","0.96768","0.96768"
"39","0.96768","0.96768","0.96768"
"40","0.96693","0.96693","0.96693"
"41","0.96956","0.96956","0.96956"
"42","0.96975","0.96975","0.96975"
"43","0.97069","0.97069","0.97069"
"44","0.9705","0.9705","0.9705"
"45","0.9705","0.9705","0.9705"
"46","0.97069","0.97069","0.97069"
"47","0.97106","0.97106","0.97106"
"48","0.97106","0.97106","0.97106"
"49","0.97144","0.97144","0.97144"
"50","0.972","0.972","0.972"
"51","0.972","0.972","0.972"
"52","0.97163","0.97163","0.97163"
"53","0.97182","0.97182","0.97182"
"54","0.972","0.972","0.972"
"55","0.97182","0.97182","0.97182"
"56","0.972","0.972","0.972"
"57","0.97219","0.97219","0.97219"
"58","0.97275","0.97275","0.97275"
"59","0.97257","0.97257","0.97257"
"60","0.97275","0.97275","0.97275"
"61","0.97238","0.97238","0.97238"
"62","0.97238","0.97238","0.97238"
"63","0.972","0.972","0.972"
"64","0.97219","0.97219","0.97219"
"65","0.97182","0.97182","0.97182"
"66","0.97182","0.97182","0.97182"
"67","0.97182","0.97182","0.97182"
"68","0.97182","0.97182","0.97182"
"69","0.97163","0.97163","0.97163"
"70","0.97163","0.97163","0.97163"
"71","0.972","0.972","0.972"
"72","0.972","0.972","0.972"
"73","0.972","0.972","0.972"
"74","0.97257","0.97257","0.97257"
"75","0.97275","0.97275","0.97275"
"76","0.97275","0.97275","0.97275"
"77","0.97332","0.97332","0.97332"
"78","0.97332","0.97332","0.97332"
"79","0.97369","0.97369","0.97369"
"80","0.97332","0.97332","0.97332"
"81","0.97332","0.97332","0.97332"
"82","0.97407","0.97407","0.97407"
"83","0.97426","0.97426","0.97426"
"84","0.97407","0.97407","0.97407"
"85","0.97407","0.97407","0.97407"
"86","0.97407","0.97407","0.97407"
"87","0.97445","0.97445","0.97445"
"88","0.97463","0.97463","0.97463"
"89","0.97482","0.97482","0.97482"
"90","0.97482","0.97482","0.97482"
"91","0.9752","0.9752","0.9752"
"92","0.97539","0.97539","0.97539"
"93","0.97557","0.97557","0.97557"
"94","0.97576","0.97576","0.97576"
"95","0.97557","0.97557","0.97557"
"96","0.97576","0.97576","0.97576"
"97","0.97576","0.97576","0.97576"
"98","0.97614","0.97614","0.97614"
"99","0.97557","0.97557","0.97557"
"100","0.97557","0.97557","0.97557"
"101","0.97595","0.97595","0.97595"
"102","0.97632","0.97632","0.97632"
"103","0.97595","0.97595","0.97595"
"104","0.97614","0.97614","0.97614"
"105","0.97632","0.97632","0.97632"
"106","0.97708","0.97708","0.97708"
"107","0.97726","0.97726","0.97726"
"108","0.97726","0.97726","0.97726"
"109","0.97726","0.97726","0.97726"
"110","0.97726","0.97726","0.97726"
"111","0.97726","0.97726","0.97726"
