,Accuracy,,,,,Precision,,,,,Recall,,,,,F1-score,,,,
,YOLOv8n,YOLOv8s,YOLOv8m,YOLOv8l,YOLOv8x,YOLOv8n,YOLOv8s,YOLOv8m,YOLOv8l,YOLOv8x,YOLOv8n,YOLOv8s,YOLOv8m,YOLOv8l,YOLOv8x,YOLOv8n,YOLOv8s,YOLOv8m,YOLOv8l,YOLOv8x
 Normal,99.68,99.68,100.00,99.68,99.68,99.68,99.68,100.00,99.68,99.68,100.00,100.00,100.00,100.00,100.00,99.84,99.84,100.00,99.84,99.84
 Center,97.62,97.95,98.29,97.95,97.95,97.62,97.95,98.29,98.28,98.28,100.00,100.00,100.00,99.65,99.65,98.80,98.97,99.14,98.96,98.96
 Donut,96.58,96.88,97.49,96.88,97.19,96.58,96.88,97.49,96.88,97.19,100.00,100.00,100.00,100.00,100.00,98.26,98.42,98.73,98.42,98.57
 Edge_Loc,96.75,96.12,97.07,96.43,96.75,98.35,98.02,98.68,98.34,98.35,98.35,98.02,98.35,98.02,98.35,98.35,98.02,98.51,98.18,98.35
 Edge_Ring,97.85,97.26,97.55,97.55,97.55,97.85,97.26,97.55,97.55,97.55,100.00,100.00,100.00,100.00,100.00,98.91,98.61,98.76,98.76,98.76
 Loc,97.81,97.80,99.63,99.63,100.00,97.81,98.16,99.63,99.63,100.00,100.00,99.63,100.00,100.00,100.00,98.89,98.89,99.81,99.81,100.00
 Near_Full,90.74,89.09,96.00,92.00,90.38,90.74,89.09,97.96,97.87,94.00,100.00,100.00,97.96,93.88,95.92,95.15,94.23,97.96,95.83,94.95
 Scratch,96.49,96.49,96.49,96.83,97.17,96.49,96.49,96.49,96.83,97.17,100.00,100.00,100.00,100.00,100.00,98.21,98.21,98.21,98.39,98.57
 Random,97.49,97.07,99.17,97.93,97.51,100.00,100.00,99.58,98.75,99.16,97.49,97.07,99.58,99.16,98.33,98.73,98.51,99.58,98.96,98.74
C_EL,95.08,95.10,96.04,96.04,96.36,97.64,97.32,98.31,98.31,98.64,97.32,97.65,97.65,97.65,97.65,97.48,97.49,97.98,97.98,98.15
 C_ER,95.93,95.92,96.92,96.92,97.25,95.93,96.25,96.92,96.92,97.25,100.00,99.65,100.00,100.00,100.00,97.92,97.92,98.43,98.43,98.61
 C_L,96.25,96.86,98.10,97.78,97.16,97.78,98.40,99.04,99.04,98.72,98.40,98.40,99.04,98.72,98.40,98.09,98.40,99.04,98.88,98.56
 C_S,95.54,95.24,96.46,95.85,96.15,95.54,95.24,96.46,95.85,96.15,100.00,100.00,100.00,100.00,100.00,97.72,97.56,98.20,97.88,98.04
 D_EL,96.62,96.61,98.29,97.27,97.94,98.28,98.62,99.65,99.30,100.00,98.28,97.94,98.63,97.94,97.94,98.28,98.28,99.14,98.62,98.96
 D_L,95.95,96.87,97.17,97.17,97.17,98.40,99.04,99.36,99.36,99.36,97.47,97.78,97.78,97.78,97.78,97.93,98.41,98.56,98.56,98.56
 ER_L,96.14,95.77,95.76,97.15,96.80,96.14,96.45,96.79,97.50,97.49,100.00,99.27,98.91,99.64,99.27,98.03,97.84,97.83,98.56,98.37
 EL_S,96.66,96.95,96.95,97.55,97.55,99.07,99.38,99.38,100.00,100.00,97.55,97.55,97.55,97.55,97.55,98.30,98.45,98.45,98.76,98.76
 ER_S,96.19,96.19,96.81,97.12,97.12,96.81,96.81,97.43,97.44,97.74,99.34,99.34,99.34,99.67,99.34,98.06,98.06,98.38,98.54,98.54
 L_S,94.16,94.79,96.08,97.04,97.38,97.64,97.98,98.33,98.99,98.67,96.35,96.68,97.67,98.01,98.67,96.99,97.32,98.00,98.50,98.67
 D_ER,97.17,98.41,99.04,98.72,98.41,97.17,98.41,99.04,98.72,98.41,100.00,100.00,100.00,100.00,100.00,98.56,99.20,99.52,99.36,99.20
 D_S,96.08,96.72,96.72,97.03,96.72,96.71,97.04,97.04,97.67,97.04,99.32,99.66,99.66,99.32,99.66,98.00,98.33,98.33,98.49,98.33
 EL_L,95.53,96.46,96.47,97.09,96.77,97.39,98.04,97.73,98.68,98.36,98.03,98.36,98.69,98.36,98.36,97.71,98.20,98.21,98.52,98.36
